Letter  Count   Percent
A	0	0.00%
a	140	7.24%
B	0	0.00%
b	26	1.35%
C	2	0.10%
c	71	3.67%
D	0	0.00%
d	50	2.59%
E	1	0.05%
e	241	12.47%
F	1	0.05%
f	41	2.12%
G	0	0.00%
g	46	2.38%
H	2	0.10%
h	79	4.09%
I	5	0.26%
i	110	5.69%
J	0	0.00%
j	5	0.26%
K	1	0.05%
k	11	0.57%
L	0	0.00%
l	75	3.88%
M	2	0.10%
m	69	3.57%
N	0	0.00%
n	108	5.59%
O	0	0.00%
o	171	8.85%
P	0	0.00%
p	67	3.47%
Q	0	0.00%
q	0	0.00%
R	1	0.05%
r	135	6.98%
S	1	0.05%
s	128	6.62%
T	7	0.36%
t	158	8.17%
U	1	0.05%
u	60	3.10%
V	0	0.00%
v	24	1.24%
W	2	0.10%
w	49	2.53%
X	0	0.00%
x	2	0.10%
Y	2	0.10%
y	39	2.02%
Z	0	0.00%
z	0	0.00%
